episode,learning_rate_0.1,learning_rate_0.01,learning_rate_0.001
211,35596.91,35328.91354,17069.91354
212,34373.91,32573.91354,17407.91354
213,33334.91,33220.91354,17721.91354
214,34434.91,34728.91354,17714.91354
215,33199.91,31093.91354,16059.91354
216,34415.91,33857.91354,17442.91354
217,31111.91,33286.91354,17623.91354
218,34136.91,33117.91354,18411.91354
219,36242.91,32648.91354,17914.91354
220,33646.91,34489.91354,18399.91354
221,35146.91,32057.91354,19125.91354
222,34321.91,30827.91354,15450.91354
223,32213.91,35746.91354,18251.91354
224,34818.91,33325.91354,16957.91354
225,32209.91,33014.91354,17984.91354
226,35753.91,32786.91354,17125.91354
227,34338.91,33013.91354,16464.91354
228,31122.91,34158.91354,16413.91354
229,35225.91,33401.91354,16556.91354
230,32765.91,30575.91354,16066.91354
231,32178.91,29501.91354,18351.91354
232,35152.91,31948.91354,19375.91354
233,32037.91,34557.91354,16421.91354
234,32990.91,33328.91354,18319.91354
235,36334.91,34135.91354,17621.91354
236,33362.91,30832.91354,18248.91354
237,34383.91,35002.91354,16940.91354
238,32030.91,32357.91354,16891.91354
239,32596.91,34411.91354,17058.91354
240,35001.91,34638.91354,16427.91354
241,32967.91,31385.91354,17735.91354
242,32387.91,33573.91354,20858.91354
243,28247.91,31731.91354,17209.91354
244,34663.91,34673.91354,18073.91354
245,34764.91,32551.91354,19487.91354
246,33350.91,34199.91354,19798.91354
247,34383.91,33168.91354,20347.91354
248,32022.91,34855.91354,16163.91354
249,33563.91,36300.91354,17092.91354
250,33020.91,33791.91354,16029.91354
251,36520.91,34431.91354,18861.91354
252,31596.91,33373.91354,17816.91354
253,33644.91,35667.91354,16593.91354
254,34570.91,34968.91354,19236.91354
255,34630.91,34814.91354,15969.91354
256,35071.91,35434.91354,16308.91354
257,32814.91,33042.91354,16597.91354
258,34988.91,32796.91354,16041.91354
259,37047.91,33128.91354,17074.91354
260,33406.91,34078.91354,15527.91354
261,34337.91,34586.91354,17942.91354
262,35380.91,35193.91354,27778.91354
263,35408.91,32020.91354,32056.91354
264,30902.91,35589.91354,31487.91354
265,33540.91,33598.91354,31385.91354
266,31087.91,35293.91354,31681.91354
267,33716.91,34561.91354,32941.91354
268,32382.91,35829.91354,29604.91354
269,34307.91,33198.91354,31695.91354
270,33562.91,32784.91354,30912.91354
271,34111.91,30847.91354,29724.91354
272,32112.91,33613.91354,31798.91354
273,33964.91,34393.91354,29178.91354
274,33525.91,33515.91354,30950.91354
275,33231.91,35611.91354,31492.91354
276,32084.91,32791.91354,31508.91354
277,36341.91,33287.91354,32224.91354
278,33917.91,33713.91354,32555.91354
279,34724.91,30927.91354,33355.91354
280,36092.91,36131.91354,30767.91354
281,34991.91,33593.91354,30113.91354
282,32240.91,35589.91354,33304.91354
283,34603.91,35425.91354,31468.91354
284,34783.91,33133.91354,29622.91354
285,33728.91,28496.91354,30609.91354
286,32074.91,35254.91354,31312.91354
287,32489.91,36205.91354,28348.91354
288,31576.91,34325.91354,29170.91354
289,32482.91,33722.91354,32253.91354
290,34574.91,34409.91354,29409.91354
291,33894.91,36365.91354,31342.91354
292,32084.91,33766.91354,31636.91354
293,32677.91,34747.91354,33473.91354
294,35274.91,33050.91354,29752.91354
295,33138.91,31823.91354,30736.91354
296,36292.91,34759.91354,28994.91354
297,31374.91,35097.91354,29124.91354
298,34406.91,31632.91354,33691.91354
299,35576.91,35999.91354,31730.91354
300,33614.91,35407.91354,31847.91354
301,32901.91,32280.91354,31048.91354
302,34578.91,31397.91354,30738.91354
303,32510.91,35392.91354,30175.91354
